DATA,REPL,NRET,MTHD,BIPA,BIPB,BRLN,BRLN_MAP_GT,BRLN_MLE_GT,BRLN_MLE_RI,Q1,Q2,Q3,EN,PP
biological,NA,NA,astral-bp,"aptHaa,aptOwe","aptRow,casCas,cryCin,droNov,eudEle,galGal,notPer,rheAme,rhePen,strCam,tinGut",2.835798,3.499869,3.898600,2.835798,0.986486,0.000000,0.013514,148.000000,1.000000
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow","casCas,cryCin,droNov,eudEle,galGal,notPer,rheAme,rhePen,strCam,tinGut",inf,6.304492,inf,inf,1.000000,0.000000,0.000000,819.535714,1.000000
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow,cryCin,eudEle,galGal,notPer,rheAme,rhePen,strCam,tinGut","casCas,droNov",inf,3.696588,inf,inf,1.000000,0.000000,0.000000,59.464286,1.000000
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow,casCas,droNov","cryCin,eudEle,galGal,notPer,rheAme,rhePen,strCam,tinGut",0.258669,0.252802,0.288954,0.258669,0.500635,0.240152,0.259212,26.233333,0.891379
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow,casCas,cryCin,droNov,eudEle,galGal,notPer,strCam,tinGut","rheAme,rhePen",inf,7.346641,inf,inf,1.000000,0.000000,0.000000,2325.466667,1.000000
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow,casCas,droNov,rheAme,rhePen","cryCin,eudEle,galGal,notPer,strCam,tinGut",0.865697,0.893818,1.117588,0.865697,0.781955,0.142857,0.075188,13.300000,0.998308
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow,casCas,cryCin,droNov,eudEle,notPer,rheAme,rhePen,tinGut","galGal,strCam",inf,2.538974,inf,inf,1.000000,0.000000,0.000000,18.000000,1.000000
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow,casCas,droNov,galGal,rheAme,rhePen,strCam","cryCin,eudEle,notPer,tinGut",5.416246,5.604303,7.106470,5.416246,0.999453,0.000000,0.000547,522.785714,1.000000
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow,casCas,droNov,eudEle,galGal,notPer,rheAme,rhePen,strCam","cryCin,tinGut",4.011908,4.715518,5.405676,4.011908,0.997006,0.002994,0.000000,334.000000,1.000000
biological,NA,NA,astral-bp,"aptHaa,aptOwe,aptRow,casCas,cryCin,droNov,galGal,rheAme,rhePen,strCam,tinGut","eudEle,notPer",1.340837,1.708109,1.812379,1.340837,0.891156,0.027211,0.081633,73.500000,1.000000
5taxa,NA,NA,true,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.010000,NA,NA,NA,NA,NA,NA,NA,NA
5taxa,NA,NA,true,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.010000,NA,NA,NA,NA,NA,NA,NA,NA
5taxa,1,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.009723,0.009761,0.009770,0.009723,0.339815,0.329934,0.330251,60016.500000,0.998673
5taxa,1,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.007799,0.007821,0.007830,0.007799,0.338533,0.331760,0.329708,59944.000000,0.987899
5taxa,2,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.013074,0.013151,0.013160,0.013074,0.342049,0.329492,0.328459,60007.500000,0.999989
5taxa,2,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.009775,0.009815,0.009823,0.009775,0.339850,0.328317,0.331833,60000.000000,0.998583
5taxa,3,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.010814,0.010863,0.010872,0.010814,0.340542,0.331616,0.327842,60158.500000,0.999637
5taxa,3,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.010422,0.010468,0.010476,0.010422,0.340281,0.329175,0.330544,59924.000000,0.999440
