MODL,REPL,NRET,MTHD,THRC,NLEA,NINT_TRUE,NINT_ESTI,FN,FP,FNR,FPR,RF
26taxa,1,10,astral-bp,0.4,26,23,6,17,0,0.739130,0.000000,0.369565
26taxa,1,10,astral-bp,0.5,26,23,6,17,0,0.739130,0.000000,0.369565
26taxa,1,10,astral-bp,0.6,26,23,6,17,0,0.739130,0.000000,0.369565
26taxa,1,10,astral-bp,0.7,26,23,2,21,0,0.913043,0.000000,0.456522
26taxa,1,10,astral-bp,0.8,26,23,2,21,0,0.913043,0.000000,0.456522
26taxa,1,10,astral-bp,0.9,26,23,1,22,0,0.956522,0.000000,0.478261
26taxa,1,50,astral-bp,0.4,26,23,18,9,4,0.391304,0.173913,0.282609
26taxa,1,50,astral-bp,0.5,26,23,16,10,3,0.434783,0.130435,0.282609
26taxa,1,50,astral-bp,0.6,26,23,14,10,1,0.434783,0.043478,0.239130
26taxa,1,50,astral-bp,0.7,26,23,8,15,0,0.652174,0.000000,0.326087
26taxa,1,50,astral-bp,0.8,26,23,8,15,0,0.652174,0.000000,0.326087
26taxa,1,50,astral-bp,0.9,26,23,6,17,0,0.739130,0.000000,0.369565
26taxa,1,100,astral-bp,0.4,26,23,22,8,7,0.347826,0.304348,0.326087
26taxa,1,100,astral-bp,0.5,26,23,17,8,2,0.347826,0.086957,0.217391
26taxa,1,100,astral-bp,0.6,26,23,16,8,1,0.347826,0.043478,0.195652
26taxa,1,100,astral-bp,0.7,26,23,14,10,1,0.434783,0.043478,0.239130
26taxa,1,100,astral-bp,0.8,26,23,12,11,0,0.478261,0.000000,0.239130
26taxa,1,100,astral-bp,0.9,26,23,11,12,0,0.521739,0.000000,0.260870
26taxa,1,500,astral-bp,0.4,26,23,23,1,1,0.043478,0.043478,0.043478
26taxa,1,500,astral-bp,0.5,26,23,22,2,1,0.086957,0.043478,0.065217
26taxa,1,500,astral-bp,0.6,26,23,22,2,1,0.086957,0.043478,0.065217
26taxa,1,500,astral-bp,0.7,26,23,21,3,1,0.130435,0.043478,0.086957
26taxa,1,500,astral-bp,0.8,26,23,17,6,0,0.260870,0.000000,0.130435
26taxa,1,500,astral-bp,0.9,26,23,16,7,0,0.304348,0.000000,0.152174
26taxa,1,1000,astral-bp,0.4,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,1000,astral-bp,0.5,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,1000,astral-bp,0.6,26,23,22,1,0,0.043478,0.000000,0.021739
26taxa,1,1000,astral-bp,0.7,26,23,21,2,0,0.086957,0.000000,0.043478
26taxa,1,1000,astral-bp,0.8,26,23,20,3,0,0.130435,0.000000,0.065217
26taxa,1,1000,astral-bp,0.9,26,23,20,3,0,0.130435,0.000000,0.065217
26taxa,1,5000,astral-bp,0.4,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,5000,astral-bp,0.5,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,5000,astral-bp,0.6,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,5000,astral-bp,0.7,26,23,22,1,0,0.043478,0.000000,0.021739
26taxa,1,5000,astral-bp,0.8,26,23,22,1,0,0.043478,0.000000,0.021739
26taxa,1,5000,astral-bp,0.9,26,23,21,2,0,0.086957,0.000000,0.043478
26taxa,1,10000,astral-bp,0.4,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,10000,astral-bp,0.5,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,10000,astral-bp,0.6,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,10000,astral-bp,0.7,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,10000,astral-bp,0.8,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,10000,astral-bp,0.9,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,50000,astral-bp,0.4,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,50000,astral-bp,0.5,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,50000,astral-bp,0.6,26,23,23,0,0,0.000000,0.000000,0.000000
26taxa,1,50000,astral-bp,0.7,26,23,23,0,0,0.000000,0.000000,0.000000
