MODL,REPL,NRET,MTHD,NLEA,NINT_TRUE,NINT_ESTI,FN,FP,FNR,FPR,RF
5taxa,1,100000,parsimony-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,1,100000,camin-sokal-strict,5,2,2,1,1,0.500000,0.500000,0.500000
5taxa,1,100000,dollo-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,1,100000,astrid-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,1,100000,astral-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,1,100000,mdc-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,1,100000,mdc-bp-ur,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,2,100000,parsimony-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,2,100000,camin-sokal-strict,5,2,2,1,1,0.500000,0.500000,0.500000
5taxa,2,100000,dollo-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,2,100000,astrid-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,2,100000,astral-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,2,100000,mdc-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,2,100000,mdc-bp-ur,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,3,100000,parsimony-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,3,100000,camin-sokal-strict,5,2,2,1,1,0.500000,0.500000,0.500000
5taxa,3,100000,dollo-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,3,100000,astrid-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,3,100000,astral-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,3,100000,mdc-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,3,100000,mdc-bp-ur,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,4,100000,parsimony-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,4,100000,camin-sokal-strict,5,2,2,1,1,0.500000,0.500000,0.500000
5taxa,4,100000,dollo-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,4,100000,astrid-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,4,100000,astral-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,4,100000,mdc-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,4,100000,mdc-bp-ur,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,5,100000,parsimony-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,5,100000,camin-sokal-strict,5,2,2,1,1,0.500000,0.500000,0.500000
5taxa,5,100000,dollo-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,5,100000,astrid-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,5,100000,astral-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,5,100000,mdc-bp,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,5,100000,mdc-bp-ur,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,6,100000,parsimony-strict,5,2,2,0,0,0.000000,0.000000,0.000000
5taxa,6,100000,camin-sokal-strict,5,2,2,1,1,0.500000,0.500000,0.500000
