NRET,NREP,BIPA,BIPB,BRLN_TRUE,AVG_BRLN_MAP_GT,STD_BRLN_MAP_GT,NREPL_EGTT_MAP_GT,AVG_AERR_MAP_GT,STD_AERR_MAP_GT,AVG_PERR_MAP_GT,STD_PERR_MAP_GT,AVG_BRLN_MLE_GT,STD_BRLN_MLE_GT,NREPL_EGTT_MLE_GT,AVG_AERR_MLE_GT,STD_AERR_MLE_GT,AVG_PERR_MLE_GT,STD_PERR_MLE_GT,AVG_BRLN_MLE_RI,STD_BRLN_MLE_RI,NREPL_EGTT_MLE_RI,AVG_AERR_MLE_RI,STD_AERR_MLE_RI,AVG_PERR_MLE_RI,STD_PERR_MLE_RI,AVG_Q1,AVG_Q2,AVG_Q3,AVG_EN,AVG_PP,STD_Q1,STD_Q2,STD_Q3,STD_EN,STD_PP
10,0,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,,,1.0,,,,,,,4.0,,,,,,,4.0,,,,,,,,0.4697463333333333,0.49116899999999997,,,,0.47371565493858114,0.15835435499326606
100,6,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,0.19831725,0.17859867174670563,3.0,0.17556625,0.10683332372526609,58.52208333333333,35.61110790842203,1.1647265,0.46043416687540684,6.0,0.8647265,0.46043416687540684,288.24216666666666,153.4780556251356,0.8923945,0.32354878544394194,6.0,0.5923944999999999,0.32354878544394194,197.4648333333333,107.84959514798065,0.8449615,0.13033483333333334,0.02470366666666667,1.4830908333333335,0.6435556666666667,0.14455092548504603,0.15253054624830253,0.045278775166247114,0.6042445490948227,0.14189069343766778
500,18,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,0.2669423888888889,0.17248368629111274,7.0,0.15052861111111113,0.09046858529845773,50.1762037037037,30.15619509948591,0.3631842777777778,0.22914801058820902,10.0,0.18392772222222223,0.1505711018521761,61.309240740740734,50.190367284058695,0.3107687222222222,0.17973619855987877,7.0,0.14556605555555555,0.1059791956992148,48.52201851851852,35.32639856640493,0.524702,0.2371985,0.23809933333333333,12.49268088888889,0.7236301666666667,0.1006375078542345,0.09327115358473798,0.09355939176266594,3.243719485261512,0.1796044328341994
1000,22,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,0.33148263636363634,0.14656228445009786,12.0,0.11987081818181816,0.090014701932839,39.9569393939394,30.00490064427967,0.38031227272727275,0.16512708632311657,14.0,0.14307254545454548,0.11509675288790229,47.690848484848495,38.36558429596742,0.32803204545454545,0.12964735908416314,13.0,0.1060455,0.07967800963637103,35.3485,26.55933654545702,0.5381455454545455,0.23261940909090909,0.22923500000000005,24.51425045454545,0.8849767272727272,0.07350041590960078,0.06032327010567096,0.0720438611125195,3.86923803012539,0.12380891613772547
5000,25,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,0.3403920000000001,0.09970802575159134,13.0,0.08215312,0.06945551768970987,27.384373333333333,23.151839229903295,0.35054404,0.10161386577056498,15.0,0.0847998,0.07542593464001623,28.266600000000004,25.141978213338746,0.3067954,0.08050783787035894,12.0,0.06724028,0.04479323794102855,22.41342666666667,14.931079313676186,0.5280763999999999,0.22911787999999997,0.24280580000000002,111.63490911999999,0.99803988,0.046730487652495135,0.030439820959158086,0.031829541239546635,10.505909063773728,0.005344352969780346
10000,25,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,0.3411667199999999,0.07172940109021961,17.0,0.059298319999999995,0.05764993548563259,19.766106666666666,19.21664516187753,0.34624272,0.07246413068464701,18.0,0.061734880000000006,0.05981842509014761,20.578293333333335,19.939475030049202,0.30416764,0.0572475738740988,11.0,0.045506519999999995,0.034983004089551836,15.16884,11.661001363183946,0.5272272,0.23464052000000002,0.23813235999999996,221.19459092000005,0.9999985999999998,0.033155588680040066,0.02134310535441364,0.027227234296387865,13.158662284765676,3.762977544461983e-06
50000,25,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,0.33946668,0.031199067920333775,22.0,0.04108524000000001,0.02903452640327375,13.695080000000004,9.678175467757915,0.34047611999999994,0.03125948939227254,22.0,0.04186964,0.029366736515833682,13.956546666666666,9.78891217194456,0.3002144,0.024956444828540786,12.0,0.01996,0.01498227305317855,6.653333333333333,4.994091017726183,0.5254816,0.23755243999999998,0.23696576,1098.7505,1.0,0.014721865536677066,0.012577430714036946,0.011234710863319987,32.52959969012837,0.0
100000,25,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonE,TaxonF",0.3,0.33719128000000004,0.02123365338611328,23.0,0.03774504,0.020232926124473458,12.58168,6.74430870815782,0.3376931199999999,0.02125426518761822,23.0,0.038171760000000006,0.020382144698299052,12.723920000000003,6.794048232766351,0.29807012000000005,0.017057033759291206,13.0,0.0140322,0.009887578097795226,4.6774000000000004,3.2958593659317423,0.52428284,0.23741536000000005,0.23830184,2197.9244999999996,1.0,0.010139644761745831,0.009211840584291505,0.007520877707714704,50.54265593041191,0.0
10,2,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.333333,,,,0.0,0.0
