MODL,NRET,MTHD,THRC,AVG_FN,AVG_FP,AVG_FNR,AVG_FPR,STD_FN,STD_FP,STD_FNR,STD_FPR,SE_FN,SE_FP,SE_FNR,SE_FPR,NREP
5taxa,100000,parsimony-strict,0.0,0.04,0.04,0.02,0.02,0.19595917942265426,0.19595917942265426,0.09797958971132713,0.09797958971132713,0.03919183588453085,0.03919183588453085,0.019595917942265426,0.019595917942265426,25
5taxa,100000,camin-sokal-strict,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
5taxa,100000,dollo-strict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
5taxa,100000,astrid-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
5taxa,100000,astral-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
5taxa,100000,mdc-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
5taxa,100000,mdc-bp-ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
6taxa,100000,parsimony-strict,0.0,1.0,1.0,0.33333333333333337,0.33333333333333337,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1.1102230246251566e-17,1.1102230246251566e-17,25
6taxa,100000,camin-sokal-strict,0.0,1.08,1.08,0.36,0.36,0.2712931993250107,0.2712931993250107,0.09043106644167023,0.09043106644167023,0.054258639865002144,0.054258639865002144,0.018086213288334048,0.018086213288334048,25
6taxa,100000,dollo-strict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
6taxa,100000,astrid-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
6taxa,100000,astral-bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
6taxa,100000,mdc-bp,0.0,1.0,1.0,0.33333333333333337,0.33333333333333337,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1.1102230246251566e-17,1.1102230246251566e-17,25
6taxa,100000,mdc-bp-ur,0.0,1.0,1.0,0.33333333333333337,0.33333333333333337,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1.1102230246251566e-17,1.1102230246251566e-17,25
26taxa,10,parsimony-strict,0.0,17.16,0.92,0.7460869565217391,0.14123809523809522,1.286234815265082,0.744043009509531,0.05592325283761228,0.11423901823799895,0.2572469630530164,0.1488086019019062,0.011184650567522455,0.02284780364759979,25
26taxa,10,camin-sokal-strict,0.0,17.12,0.92,0.7443478260869566,0.1393333333333333,1.2432216214336043,0.744043009509531,0.0540531139753741,0.11138149188574319,0.24864432428672084,0.1488086019019062,0.01081062279507482,0.02227629837714864,25
26taxa,10,dollo-strict,0.0,17.16,0.92,0.7460869565217391,0.14123809523809522,1.286234815265082,0.744043009509531,0.05592325283761228,0.11423901823799895,0.2572469630530164,0.1488086019019062,0.011184650567522455,0.02284780364759979,25
26taxa,10,astrid-bp,0.0,15.64,15.64,0.68,0.68,1.9975985582694036,1.9975985582694036,0.08685211122910451,0.08685211122910451,0.3995197116538807,0.3995197116538807,0.017370422245820902,0.017370422245820902,25
